Species,BARI,BLASTOPIA,BS,COPIA2,COPIA,Copia1,DM1731,DM412,DMCR1A,DOC,FW3,FW,G2,G4,G5,GYPSY4,GYPSY6,GYPSY,Gypsy1,Gypsy2,HELENA,INVADER2,INVADER6,IVK,I,Jockey,LOOPER1,MAX,MICROPIA,QUASIMODO,R12,R1,ROO,STALKER4,S,TC12,TRANSPAC
D.ezoana.masurca,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,0,NA,NA,NA,4,6,NA,NA,4,NA,NA,NA,2,2,NA,NA,NA,1,0,NA,NA,551,0,NA,NA
D.ficusphila,NA,NA,0,0,0,NA,1,NA,323,11,0,5,0,NA,0,NA,NA,NA,NA,NA,5,3,NA,38,2,5,NA,NA,NA,NA,1,51,20,NA,0,NA,0
D.funebris,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,0,NA,NA,NA,0,4
D.fuyamai,14,NA,NA,0,173,0,1,NA,667,0,1,111,NA,0,1,NA,333,NA,53,NA,0,0,NA,39,43,6,NA,1,NA,0,178,179,69,NA,3,0,9
D.immigrans.fk05,0,NA,1,NA,10,NA,NA,NA,1,0,1,2,11,2,NA,NA,NA,NA,NA,NA,0,NA,12,NA,NA,0,NA,NA,2,NA,NA,NA,NA,NA,3,NA,1
D.immigrans.kari17,0,NA,1,0,14,NA,NA,NA,1,0,NA,1,11,2,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA
D.insularis,0,NA,4,0,0,0,0,NA,385,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,2,NA,2,0,NA
D.jambulina,5,NA,NA,NA,147,NA,NA,23,16,NA,NA,NA,NA,0,0,NA,3815,NA,1174,NA,NA,NA,NA,21,32,1,NA,NA,NA,NA,NA,126,108,NA,NA,NA,18
D.kikkawai,12,NA,NA,0,166,0,1,NA,25,71,0,101,NA,0,0,NA,1196,NA,16,NA,NA,NA,NA,NA,1,28,NA,305,NA,NA,NA,86,NA,NA,2,NA,154
D.kurseongensis,NA,NA,NA,0,NA,0,0,NA,331,1,0,14,NA,4,NA,NA,NA,NA,29,NA,NA,2,NA,36,35,62,NA,NA,NA,NA,0,179,113,NA,3,NA,NA
D.littoralis,0,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,3,NA,NA,NA,NA,7,NA,NA,1,NA,NA,NA,2,0,NA,0,NA,NA,0,NA,NA,588,NA,0,NA
